date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2000-12-31_Q4,972000000,748000000,224000000,0.230453,70000000,213000000,0,0,546000000,1294000000,-180000000,101000000,-624000000,-0.641975,-322000000,-0.331276,-5000000,-508000000,-0.522634,0,-545000000,-0.5607,-0.79,-0.79,356000000,356000000
2000-09-30_Q3,638000000,471000000,167000000,0.261755,71000000,169000000,0,0,330000000,801000000,-12000000,103000000,-150000000,-0.23511,-164000000,-0.257053,3000000,-172000000,-0.269592,0,-241000000,-0.377743,-0.42,-0.42,354000000,354000000
2000-06-30_Q2,578000000,442000000,136000000,0.235294,67000000,166000000,0,0,316000000,758000000,-23000000,101000000,-239000000,-0.413495,-180000000,-0.311419,-3000000,-207000000,-0.358131,0,-317000000,-0.548443,-0.67,-0.67,350000000,350000000
2000-03-31_Q1,574000000,446000000,128000000,0.222997,61000000,180000000,0,0,326000000,772000000,-17000000,101000000,-224000000,-0.390244,-198000000,-0.344948,-5000000,-220000000,-0.383275,0,-308000000,-0.536585,-0.65,-0.65,344000000,344000000
1999-12-31_Q4,676000000,588000000,88000000,0.130178,58000000,220000000,0,0,362000000,950000000,-9000000,97000000,-235000000,-0.347633,-274000000,-0.405325,0,-283000000,-0.418639,0,-323000000,-0.477811,-0.71,-0.71,338000000,338000000
1999-09-30_Q3,356000000,285000000,70000000,0.196629,44000000,117000000,0,0,238000000,523000000,-9000000,84000000,-122000000,-0.342697,-167000000,-0.469101,2000000,-174000000,-0.488764,0,-197000000,-0.553371,-0.36,-0.36,332000000,332000000
1999-06-30_Q2,314000000,247000000,68000000,0.216561,34000000,105000000,0,0,180000000,427000000,-15000000,45000000,-108000000,-0.343949,-113000000,-0.359873,0,-128000000,-0.407643,0,-138000000,-0.43949,-0.3,-0.3,322000000,322000000
1999-03-31_Q1,294000000,229000000,65000000,0.221088,23000000,72000000,0,0,117000000,346000000,-6000000,26000000,-42000000,-0.142857,-52000000,-0.176871,0,-58000000,-0.197279,0,-62000000,-0.210884,-0.13,-0.13,314000000,314000000
1998-12-31_Q4,253000000,199000000,53000000,0.209486,17000000,54000000,0,0,93000000,292000000,-4000000,46000000,-4000000,-0.01581,-39000000,-0.15415,0,-44000000,-0.173913,0,-46000000,-0.181818,-0.08,-0.08,309000000,309000000
1998-09-30_Q3,154000000,119000000,35000000,0.227273,13000000,44000000,0,0,76000000,195000000,-4000000,3000000,-46000000,-0.298701,-42000000,-0.272727,0,-45000000,-0.292208,0,-45000000,-0.292208,-0.09,-0.09,301000000,301000000
