,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1985-01-23 16:00:00,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-24 16:00:00,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-25 16:00:00,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-28 16:00:00,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-29 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-30 16:00:00,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-31 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-01 16:00:00,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-04 16:00:00,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-05 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-06 16:00:00,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-07 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-08 16:00:00,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-11 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-12 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-13 16:00:00,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-14 16:00:00,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-15 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-19 16:00:00,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-20 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-21 16:00:00,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,
